brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
w department store,0,1,0,0,0,0,0,0,0,27,28,2,False,True,W Department Store
medical city clinic,0,6,1,1,0,0,0,20,0,0,28,4,False,True,THE MEDICAL CITY CLINIC
coco fresh tea & juice,0,14,0,1,8,2,3,0,0,0,28,5,False,True,COCO FRESH TEA & JUICE
jockey,2,14,1,0,0,0,5,4,1,0,27,6,False,True,JOCKEY
alfamart,0,0,0,0,1,1,0,24,0,1,27,4,False,True,ALFAMART
johnn lemon,0,4,0,1,2,0,6,14,0,0,27,5,False,True,JOHNN LEMON
handyman do it best,0,9,0,0,0,0,18,0,0,0,27,2,False,True,Handyman Do It Best
techno kid,0,0,0,0,0,0,0,27,0,0,27,1,False,False,TECHNO KID
denim hub,0,5,1,0,2,0,12,7,0,0,27,5,False,True,DENIM HUB
blk cosmetics,1,8,1,0,3,0,2,12,0,0,27,6,False,True,BLK COSMETICS
avocadoria,0,0,1,2,3,2,19,0,0,0,27,5,False,True,Avocadoria
kyu kyu ramen 99,0,0,0,0,0,0,3,24,0,0,27,2,False,True,KYU KYU RAMEN 99
bioessence,1,2,0,0,1,1,2,20,0,0,27,6,False,True,BIOESSENCE
tecno mobile,0,0,0,0,0,0,1,26,0,0,27,2,False,True,TECNO MOBILE
jamaican patties,0,0,0,0,0,0,0,27,0,0,27,1,False,False,JAMAICAN PATTIES
human,1,2,0,0,0,0,2,20,0,1,26,5,False,True,HUMAN
asianic,0,1,1,0,0,0,0,23,0,1,26,4,False,True,ASIANIC
romantic baboy,0,6,2,0,2,0,5,11,0,0,26,5,False,True,ROMANTIC BABOY
lto,0,0,0,1,7,0,11,7,0,0,26,4,False,True,LTO
sizzling plate,0,0,0,0,0,0,0,26,0,0,26,1,False,False,SIZZLING PLATE
alter to fit,0,0,0,0,1,0,0,24,0,1,26,3,False,True,ALTER TO FIT
popeyes,0,0,1,0,5,1,3,16,0,0,26,5,False,True,POPEYES
zus coffee,0,0,1,0,3,1,12,8,0,1,26,6,False,True,ZUS COFFEE
stormtech,0,1,0,0,0,0,10,15,0,0,26,3,False,True,STORMTECH
spyder,0,0,1,0,0,0,3,22,0,0,26,3,False,True,SPYDER
blade,0,0,1,0,2,1,5,17,0,0,26,5,False,True,BLADE
italiannis,0,13,1,0,5,1,1,5,0,0,26,6,False,True,ITALIANNI'S
guanzon mobitek,0,0,0,0,0,0,5,18,1,2,26,4,False,True,GUANZON MOBITEK
new balance,1,10,1,0,5,1,5,3,0,0,26,7,False,True,NEW BALANCE
mango,1,11,0,0,3,0,2,8,0,0,25,5,False,True,MANGO
julies bakeshop,0,1,1,0,0,0,6,4,0,13,25,5,False,True,Julie's Bakeshop
2go,0,2,0,0,0,1,1,21,0,0,25,4,False,True,2GO
jbl,0,3,1,0,0,0,3,18,0,0,25,4,False,True,JBL
toy kingdom,0,0,1,1,0,1,0,22,0,0,25,4,False,True,TOY KINGDOM
mumuso,1,13,0,2,4,0,2,0,3,0,25,6,False,True,MUMUSO
wendys,0,1,1,2,3,1,2,15,0,0,25,7,False,True,WENDYS
parfois,1,6,1,0,0,1,3,13,0,0,25,6,False,True,PARFOIS
love link,0,1,0,0,0,0,1,23,0,0,25,3,False,True,LOVE LINK
gingersnaps,0,6,0,0,2,0,3,14,0,0,25,4,False,True,GINGERSNAPS
a 1 driving,0,0,0,0,2,0,0,23,0,0,25,2,False,True,A-1 DRIVING
