brand_key,display_name,chain,mall_id,mall_name,region
gosalads,GOSALADS,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
gorgeous luxe nail spa,GORGEOUS LUXE NAIL SPA,sm,sm-city-fairview,SM City Fairview,metro-manila
gootopia,GOOTOPIA,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
googoo sweet cake,Googoo Sweet Cake,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
goodluck fengshui,Goodluck Fengshui,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
goodkause,GOODKAUSE,sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao
gracious angeli travel tours,GRACIOUS ANGELI TRAVEL TOURS,sm,sm-city-baguio,SM City Baguio,north-luzon
gracious angeli travel & tours,Gracious Angeli Travel & Tours 9175061999,robinsons,robinsons-santiago,Robinsons Place Santiago,north-luzon
grace pharmacy,GRACE PHARMACY,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
grace mini mart,Grace Mini Mart,megaworld,california-garden-square,California Garden Square,metro-manila
gpc money changer,GPC MONEY CHANGER,ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas
gotyme atm,Gotyme ATM,megaworld,uptown-mall,Uptown Mall,metro-manila
gotsoul mnl,GotSoul MNL,megaworld,forbes-town,Forbes Town,metro-manila
goto zone,Goto Zone,robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon
goto tendon,Goto Tendon,ortigas,greenhills,Greenhills,metro-manila
goto lovers,Goto Lovers,robinsons,robinsons-dasmarinas,Robinsons Place Dasmarinas,south-luzon
goto king plus,GOTO KING PLUS,sm,sm-city-fairview,SM City Fairview,metro-manila
goto de antonio,GOTO DE ANTONIO,sm,sm-city-cauayan,SM City Cauayan,north-luzon
goto believe,Goto Believe,megaworld,california-garden-square,California Garden Square,metro-manila
fruitas ice candy,FRUITAS ICE CANDY,sm,sm-megamall,SM Megamall,metro-manila
fruitas fresh from babots farm,Fruitas - Fresh From Babot's Farm,robinsons,robinsons-roxas,Robinsons Place Roxas,visayas
fruitas buko ni fruitas,FRUITAS/BUKO NI FRUITAS,ayala,ayala-marquee,MarQuee Mall,north-luzon
